Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
DREDGE,"Mar 30, 2023",Overwhelmingly Positive,96,7794,$39.99,$35.06,40,No Rating,N,N
Halo: The Master Chief Collection,"Dec 3, 2019",Very Positive,92,184937,0.00,$15.99,700,Mature,N,N
Path of Exile,"Oct 23, 2013",Very Positive,87,199927,$59.99,0,127,No Rating,N,N
Resident Evil 4,"Mar 23, 2023",Overwhelmingly Positive,97,45463,$39.99,$20.19,39,No Rating,N,N
Dying Light 2 Stay Human,"Feb 3, 2022",Mostly Positive,79,103547,$19.99,$29.99,65,Mature,N,N
Grounded,"Sep 27, 2022",Very Positive,89,41854,29.99,$29.99,37,Teen,N,N
Dead by Daylight,"Jun 14, 2016",Very Positive,80,475395,$29.99,$7.99,221,Mature,N,N
Sons Of The Forest,"Feb 23, 2023",Very Positive,83,111240,29.99,0,28,No Rating,N,Y
Deep Rock Galactic,"May 13, 2020",Overwhelmingly Positive,97,161814,14.99,$9.89,69,No Rating,N,N
Call of Duty®: Modern Warfare® II - BlackCell (Season 03),"Apr 12, 2023",Mixed,56,501,39.99,0,0,Mature,Y,N
Demonologist,"Mar 27, 2023",Very Positive,92,3905,$29.99,0,15,No Rating,N,Y
Fallout 76,"Apr 14, 2020",Mostly Positive,75,43439,$29.99,$195.91,66,Mature,N,N
Ready or Not,"Dec 17, 2021",Very Positive,92,83300,13.99,0,1,No Rating,N,Y
Dying Light,"Jan 26, 2015",Overwhelmingly Positive,95,272722,19.99,$8.99,78,Mature,N,N
Aliens: Fireteam Elite,"Aug 23, 2021",Very Positive,81,14676,$44.98,$11.99,46,Mature,N,N
Phasmophobia,"Sep 18, 2020",Overwhelmingly Positive,96,445977,19.99,0,0,No Rating,N,Y
Europa Universalis IV: Domination,"Apr 18, 2023",Mixed,60,306,$19.99,0,0,Teen,Y,N
Hunt: Showdown,"Aug 27, 2019",Very Positive,83,125720,$29.99,$24.63,37,Mature,N,N
DayZ,"Dec 13, 2018",Mostly Positive,74,285531,$39.99,$53.08,13,Mature,N,N
The Last of Us™ Part I,"Mar 28, 2023",Mixed,52,17511,$19.99,$69.99,29,Mature,N,N
Pizza Tower,"Jan 26, 2023",Overwhelmingly Positive,98,20369,$34.99,0,72,No Rating,N,N
Alien: Isolation,"Oct 6, 2014",Very Positive,92,36631,59.99,$3.99,50,Mature,N,N
State of Decay 2: Juggernaut Edition,"Mar 13, 2020",Very Positive,83,36355,$14.99,$14.99,153,Mature,N,N
