Name,Date Released,Review Category,Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?
Hogwarts Legacy,"Feb 10, 2023",Very Positive,92,142539,59.99,0,45,Teen,N,N
Ori and the Will of the Wisps,"Mar 10, 2020",Overwhelmingly Positive,96,99967,$29.99,$5.99,37,Everyone,N,N
Survival: Fountain of Youth,"Apr 19, 2023",Very Positive,82,141,$22.99,$20.69,29,No Rating,N,Y
Ori and the Blind Forest,"Mar 11, 2015",Overwhelmingly Positive,95,42505,29.99,0,27,No Rating,N,N
Teardown,"Apr 21, 2022",Overwhelmingly Positive,96,64345,$129.97,$59.37,39,Teen,N,N
STAR WARS Jedi: Fallen Order™,"Nov 14, 2019",Very Positive,89,106021,$44.98,$80.88,46,No Rating,N,N
Car Mechanic Simulator 2021,"Aug 11, 2021",Overwhelmingly Positive,95,18241,59.99,$29.97,83,Mature,N,N
HITMAN 3,"Jan 20, 2022",Very Positive,83,11339,$13.99,0,42,Mature,N,N
Atomic Heart,"Feb 20, 2023",Very Positive,85,16059,0.00,$38.38,24,No Rating,N,N
Stray,"Jul 19, 2022",Overwhelmingly Positive,97,104635,0.00,$34.98,17,No Rating,N,N
Terra Nil,"Mar 28, 2023",Very Positive,84,2177,$19.99,$9.79,85,No Rating,N,N
Dorfromantik,"Apr 28, 2022",Overwhelmingly Positive,97,20756,14.99,0,220,Teen,N,N
Puzzle Pirates,"Aug 31, 2011",Very Positive,80,1822,39.99,$14.93,44,Mature,N,N
Resident Evil 2,"Jan 24, 2019",Overwhelmingly Positive,97,86023,19.99,0,0,Teen,N,N
Dungeons & Dragons Online®,"Jun 25, 2012",Mostly Positive,70,6057,$9.99,$22.47,25,No Rating,N,N
Escape Simulator,"Oct 19, 2021",Very Positive,94,9385,49.99,$62.98,20,Teen,N,N
It Takes Two,"Mar 25, 2021",Overwhelmingly Positive,95,106669,14.99,$16.99,35,No Rating,N,N
Desktop Dungeons: Rewind,"Apr 18, 2023",Very Positive,85,226,39.99,0,47,No Rating,N,N
